,Index,comments,description,duration(mins),event,film_date,languages,main_speaker,title,num_speaker,published_date,related_talks,speaker_occupation,tags,url,views,related_titles,published_year,ratingPositivity,ratingTotalPositiveCount,Length2,RingID,RingSize,Vappear,relativeViews
1,1,672,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",21.75,TED2006,02-02-2006,36,Tony Robbins,Why we do what we do,1,27-06-2006,"[{u'viewed_count': 21190809, u'hero': u'https://pe.tedcdn.com/images/ted/eefe30d20338d800bdc70a09dc0f6007e7355a74_2880x1620.jpg', u'title': u'My stroke of insight', u'id': 229, u'speaker': u'Jill Bolte Taylor', u'duration': 1099, u'slug': u'jill_bolte_taylor_s_powerful_stroke_of_insight'}, {u'viewed_count': 10841194, u'hero': u'https://pe.tedcdn.com/images/ted/6c8c4b562ae7b0a7f5b140e2db1f7588861a6565_1600x1200.jpg', u'title': u'8 secrets of success', u'id': 70, u'speaker': u'Richard St. John', u'duration': 210, u'slug': u'richard_st_john_s_8_secrets_of_success'}, {u'viewed_count': 14689293, u'hero': u'https://pe.tedcdn.com/images/ted/016a827cc0757092a0439ab2a63feca8655b6c29_1600x1200.jpg', u'title': u'The surprising science of happiness', u'id': 97, u'speaker': u'Dan Gilbert', u'duration': 1276, u'slug': u'dan_gilbert_asks_why_are_we_happy'}, {u'viewed_count': 1132745, u'hero': u'https://pe.tedcdn.com/images/ted/78e8d94d1d2a81cd182e0626dc8e96a43c88d760_800x600.jpg', u'title': u'The social animal', u'id': 1094, u'speaker': u'David Brooks', u'duration': 1124, u'slug': u'david_brooks_the_social_animal'}, {u'viewed_count': 997630, u'hero': u'https://pe.tedcdn.com/images/ted/040ce6ae0f5e8d306d395b03be10fffb459f69ae_2880x1620.jpg', u'title': u'There's more to life than being happy', u'id': 2861, u'speaker': u'Emily Esfahani Smith', u'duration': 738, u'slug': u'emily_esfahani_smith_there_s_more_to_life_than_being_happy'}, {u'viewed_count': 1407619, u'hero': u'https://pe.tedcdn.com/images/ted/7942398dd4f5b61691f12872b6e787cf53dec95f_2880x1620.jpg', u'title': u'This app knows how you feel -- from the look on your face', u'id': 2279, u'speaker': u'Rana el Kaliouby', u'duration': 664, u'slug': u'rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face'}]",Life coach; expert in leadership psychology,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']","https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",20685401,"[My stroke of insight, 8 secrets of success, The surprising science of happiness, The social animal, There's more to life than being happy, This app knows how you feel -- from the look on your face]",2006,0.886754363,13617,0.927083333,1,1,1,0.43799845
37,1,672,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",21.75,TED2006,02-02-2006,36,Tony Robbins,Why we do what we do,1,27-06-2006,"[{u'viewed_count': 21190809, u'hero': u'https://pe.tedcdn.com/images/ted/eefe30d20338d800bdc70a09dc0f6007e7355a74_2880x1620.jpg', u'title': u'My stroke of insight', u'id': 229, u'speaker': u'Jill Bolte Taylor', u'duration': 1099, u'slug': u'jill_bolte_taylor_s_powerful_stroke_of_insight'}, {u'viewed_count': 10841194, u'hero': u'https://pe.tedcdn.com/images/ted/6c8c4b562ae7b0a7f5b140e2db1f7588861a6565_1600x1200.jpg', u'title': u'8 secrets of success', u'id': 70, u'speaker': u'Richard St. John', u'duration': 210, u'slug': u'richard_st_john_s_8_secrets_of_success'}, {u'viewed_count': 14689293, u'hero': u'https://pe.tedcdn.com/images/ted/016a827cc0757092a0439ab2a63feca8655b6c29_1600x1200.jpg', u'title': u'The surprising science of happiness', u'id': 97, u'speaker': u'Dan Gilbert', u'duration': 1276, u'slug': u'dan_gilbert_asks_why_are_we_happy'}, {u'viewed_count': 1132745, u'hero': u'https://pe.tedcdn.com/images/ted/78e8d94d1d2a81cd182e0626dc8e96a43c88d760_800x600.jpg', u'title': u'The social animal', u'id': 1094, u'speaker': u'David Brooks', u'duration': 1124, u'slug': u'david_brooks_the_social_animal'}, {u'viewed_count': 997630, u'hero': u'https://pe.tedcdn.com/images/ted/040ce6ae0f5e8d306d395b03be10fffb459f69ae_2880x1620.jpg', u'title': u'There's more to life than being happy', u'id': 2861, u'speaker': u'Emily Esfahani Smith', u'duration': 738, u'slug': u'emily_esfahani_smith_there_s_more_to_life_than_being_happy'}, {u'viewed_count': 1407619, u'hero': u'https://pe.tedcdn.com/images/ted/7942398dd4f5b61691f12872b6e787cf53dec95f_2880x1620.jpg', u'title': u'This app knows how you feel -- from the look on your face', u'id': 2279, u'speaker': u'Rana el Kaliouby', u'duration': 664, u'slug': u'rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face'}]",Life coach; expert in leadership psychology,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']","https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",20685401,"[My stroke of insight, 8 secrets of success, The surprising science of happiness, The social animal, There's more to life than being happy, This app knows how you feel -- from the look on your face]",2006,0.886754363,13617,0.927083333,2,4,1,0.43799845
73,1,672,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",21.75,TED2006,02-02-2006,36,Tony Robbins,Why we do what we do,1,27-06-2006,"[{u'viewed_count': 21190809, u'hero': u'https://pe.tedcdn.com/images/ted/eefe30d20338d800bdc70a09dc0f6007e7355a74_2880x1620.jpg', u'title': u'My stroke of insight', u'id': 229, u'speaker': u'Jill Bolte Taylor', u'duration': 1099, u'slug': u'jill_bolte_taylor_s_powerful_stroke_of_insight'}, {u'viewed_count': 10841194, u'hero': u'https://pe.tedcdn.com/images/ted/6c8c4b562ae7b0a7f5b140e2db1f7588861a6565_1600x1200.jpg', u'title': u'8 secrets of success', u'id': 70, u'speaker': u'Richard St. John', u'duration': 210, u'slug': u'richard_st_john_s_8_secrets_of_success'}, {u'viewed_count': 14689293, u'hero': u'https://pe.tedcdn.com/images/ted/016a827cc0757092a0439ab2a63feca8655b6c29_1600x1200.jpg', u'title': u'The surprising science of happiness', u'id': 97, u'speaker': u'Dan Gilbert', u'duration': 1276, u'slug': u'dan_gilbert_asks_why_are_we_happy'}, {u'viewed_count': 1132745, u'hero': u'https://pe.tedcdn.com/images/ted/78e8d94d1d2a81cd182e0626dc8e96a43c88d760_800x600.jpg', u'title': u'The social animal', u'id': 1094, u'speaker': u'David Brooks', u'duration': 1124, u'slug': u'david_brooks_the_social_animal'}, {u'viewed_count': 997630, u'hero': u'https://pe.tedcdn.com/images/ted/040ce6ae0f5e8d306d395b03be10fffb459f69ae_2880x1620.jpg', u'title': u'There's more to life than being happy', u'id': 2861, u'speaker': u'Emily Esfahani Smith', u'duration': 738, u'slug': u'emily_esfahani_smith_there_s_more_to_life_than_being_happy'}, {u'viewed_count': 1407619, u'hero': u'https://pe.tedcdn.com/images/ted/7942398dd4f5b61691f12872b6e787cf53dec95f_2880x1620.jpg', u'title': u'This app knows how you feel -- from the look on your face', u'id': 2279, u'speaker': u'Rana el Kaliouby', u'duration': 664, u'slug': u'rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face'}]",Life coach; expert in leadership psychology,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']","https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",20685401,"[My stroke of insight, 8 secrets of success, The surprising science of happiness, The social animal, There's more to life than being happy, This app knows how you feel -- from the look on your face]",2006,0.886754363,13617,0.927083333,3,9,1,0.43799845
109,1,672,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",21.75,TED2006,02-02-2006,36,Tony Robbins,Why we do what we do,1,27-06-2006,"[{u'viewed_count': 21190809, u'hero': u'https://pe.tedcdn.com/images/ted/eefe30d20338d800bdc70a09dc0f6007e7355a74_2880x1620.jpg', u'title': u'My stroke of insight', u'id': 229, u'speaker': u'Jill Bolte Taylor', u'duration': 1099, u'slug': u'jill_bolte_taylor_s_powerful_stroke_of_insight'}, {u'viewed_count': 10841194, u'hero': u'https://pe.tedcdn.com/images/ted/6c8c4b562ae7b0a7f5b140e2db1f7588861a6565_1600x1200.jpg', u'title': u'8 secrets of success', u'id': 70, u'speaker': u'Richard St. John', u'duration': 210, u'slug': u'richard_st_john_s_8_secrets_of_success'}, {u'viewed_count': 14689293, u'hero': u'https://pe.tedcdn.com/images/ted/016a827cc0757092a0439ab2a63feca8655b6c29_1600x1200.jpg', u'title': u'The surprising science of happiness', u'id': 97, u'speaker': u'Dan Gilbert', u'duration': 1276, u'slug': u'dan_gilbert_asks_why_are_we_happy'}, {u'viewed_count': 1132745, u'hero': u'https://pe.tedcdn.com/images/ted/78e8d94d1d2a81cd182e0626dc8e96a43c88d760_800x600.jpg', u'title': u'The social animal', u'id': 1094, u'speaker': u'David Brooks', u'duration': 1124, u'slug': u'david_brooks_the_social_animal'}, {u'viewed_count': 997630, u'hero': u'https://pe.tedcdn.com/images/ted/040ce6ae0f5e8d306d395b03be10fffb459f69ae_2880x1620.jpg', u'title': u'There's more to life than being happy', u'id': 2861, u'speaker': u'Emily Esfahani Smith', u'duration': 738, u'slug': u'emily_esfahani_smith_there_s_more_to_life_than_being_happy'}, {u'viewed_count': 1407619, u'hero': u'https://pe.tedcdn.com/images/ted/7942398dd4f5b61691f12872b6e787cf53dec95f_2880x1620.jpg', u'title': u'This app knows how you feel -- from the look on your face', u'id': 2279, u'speaker': u'Rana el Kaliouby', u'duration': 664, u'slug': u'rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face'}]",Life coach; expert in leadership psychology,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']","https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",20685401,"[My stroke of insight, 8 secrets of success, The surprising science of happiness, The social animal, There's more to life than being happy, This app knows how you feel -- from the look on your face]",2006,0.886754363,13617,0.927083333,4,16,1,0.43799845
145,1,672,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",21.75,TED2006,02-02-2006,36,Tony Robbins,Why we do what we do,1,27-06-2006,"[{u'viewed_count': 21190809, u'hero': u'https://pe.tedcdn.com/images/ted/eefe30d20338d800bdc70a09dc0f6007e7355a74_2880x1620.jpg', u'title': u'My stroke of insight', u'id': 229, u'speaker': u'Jill Bolte Taylor', u'duration': 1099, u'slug': u'jill_bolte_taylor_s_powerful_stroke_of_insight'}, {u'viewed_count': 10841194, u'hero': u'https://pe.tedcdn.com/images/ted/6c8c4b562ae7b0a7f5b140e2db1f7588861a6565_1600x1200.jpg', u'title': u'8 secrets of success', u'id': 70, u'speaker': u'Richard St. John', u'duration': 210, u'slug': u'richard_st_john_s_8_secrets_of_success'}, {u'viewed_count': 14689293, u'hero': u'https://pe.tedcdn.com/images/ted/016a827cc0757092a0439ab2a63feca8655b6c29_1600x1200.jpg', u'title': u'The surprising science of happiness', u'id': 97, u'speaker': u'Dan Gilbert', u'duration': 1276, u'slug': u'dan_gilbert_asks_why_are_we_happy'}, {u'viewed_count': 1132745, u'hero': u'https://pe.tedcdn.com/images/ted/78e8d94d1d2a81cd182e0626dc8e96a43c88d760_800x600.jpg', u'title': u'The social animal', u'id': 1094, u'speaker': u'David Brooks', u'duration': 1124, u'slug': u'david_brooks_the_social_animal'}, {u'viewed_count': 997630, u'hero': u'https://pe.tedcdn.com/images/ted/040ce6ae0f5e8d306d395b03be10fffb459f69ae_2880x1620.jpg', u'title': u'There's more to life than being happy', u'id': 2861, u'speaker': u'Emily Esfahani Smith', u'duration': 738, u'slug': u'emily_esfahani_smith_there_s_more_to_life_than_being_happy'}, {u'viewed_count': 1407619, u'hero': u'https://pe.tedcdn.com/images/ted/7942398dd4f5b61691f12872b6e787cf53dec95f_2880x1620.jpg', u'title': u'This app knows how you feel -- from the look on your face', u'id': 2279, u'speaker': u'Rana el Kaliouby', u'duration': 664, u'slug': u'rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face'}]",Life coach; expert in leadership psychology,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']","https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",20685401,"[My stroke of insight, 8 secrets of success, The surprising science of happiness, The social animal, There's more to life than being happy, This app knows how you feel -- from the look on your face]",2006,0.886754363,13617,0.927083333,5,25,1,0.43799845
181,1,672,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",21.75,TED2006,02-02-2006,36,Tony Robbins,Why we do what we do,1,27-06-2006,"[{u'viewed_count': 21190809, u'hero': u'https://pe.tedcdn.com/images/ted/eefe30d20338d800bdc70a09dc0f6007e7355a74_2880x1620.jpg', u'title': u'My stroke of insight', u'id': 229, u'speaker': u'Jill Bolte Taylor', u'duration': 1099, u'slug': u'jill_bolte_taylor_s_powerful_stroke_of_insight'}, {u'viewed_count': 10841194, u'hero': u'https://pe.tedcdn.com/images/ted/6c8c4b562ae7b0a7f5b140e2db1f7588861a6565_1600x1200.jpg', u'title': u'8 secrets of success', u'id': 70, u'speaker': u'Richard St. John', u'duration': 210, u'slug': u'richard_st_john_s_8_secrets_of_success'}, {u'viewed_count': 14689293, u'hero': u'https://pe.tedcdn.com/images/ted/016a827cc0757092a0439ab2a63feca8655b6c29_1600x1200.jpg', u'title': u'The surprising science of happiness', u'id': 97, u'speaker': u'Dan Gilbert', u'duration': 1276, u'slug': u'dan_gilbert_asks_why_are_we_happy'}, {u'viewed_count': 1132745, u'hero': u'https://pe.tedcdn.com/images/ted/78e8d94d1d2a81cd182e0626dc8e96a43c88d760_800x600.jpg', u'title': u'The social animal', u'id': 1094, u'speaker': u'David Brooks', u'duration': 1124, u'slug': u'david_brooks_the_social_animal'}, {u'viewed_count': 997630, u'hero': u'https://pe.tedcdn.com/images/ted/040ce6ae0f5e8d306d395b03be10fffb459f69ae_2880x1620.jpg', u'title': u'There's more to life than being happy', u'id': 2861, u'speaker': u'Emily Esfahani Smith', u'duration': 738, u'slug': u'emily_esfahani_smith_there_s_more_to_life_than_being_happy'}, {u'viewed_count': 1407619, u'hero': u'https://pe.tedcdn.com/images/ted/7942398dd4f5b61691f12872b6e787cf53dec95f_2880x1620.jpg', u'title': u'This app knows how you feel -- from the look on your face', u'id': 2279, u'speaker': u'Rana el Kaliouby', u'duration': 664, u'slug': u'rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face'}]",Life coach; expert in leadership psychology,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']","https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",20685401,"[My stroke of insight, 8 secrets of success, The surprising science of happiness, The social animal, There's more to life than being happy, This app knows how you feel -- from the look on your face]",2006,0.886754363,13617,0.927083333,6,36,1,0.43799845
217,1,672,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",21.75,TED2006,02-02-2006,36,Tony Robbins,Why we do what we do,1,27-06-2006,"[{u'viewed_count': 21190809, u'hero': u'https://pe.tedcdn.com/images/ted/eefe30d20338d800bdc70a09dc0f6007e7355a74_2880x1620.jpg', u'title': u'My stroke of insight', u'id': 229, u'speaker': u'Jill Bolte Taylor', u'duration': 1099, u'slug': u'jill_bolte_taylor_s_powerful_stroke_of_insight'}, {u'viewed_count': 10841194, u'hero': u'https://pe.tedcdn.com/images/ted/6c8c4b562ae7b0a7f5b140e2db1f7588861a6565_1600x1200.jpg', u'title': u'8 secrets of success', u'id': 70, u'speaker': u'Richard St. John', u'duration': 210, u'slug': u'richard_st_john_s_8_secrets_of_success'}, {u'viewed_count': 14689293, u'hero': u'https://pe.tedcdn.com/images/ted/016a827cc0757092a0439ab2a63feca8655b6c29_1600x1200.jpg', u'title': u'The surprising science of happiness', u'id': 97, u'speaker': u'Dan Gilbert', u'duration': 1276, u'slug': u'dan_gilbert_asks_why_are_we_happy'}, {u'viewed_count': 1132745, u'hero': u'https://pe.tedcdn.com/images/ted/78e8d94d1d2a81cd182e0626dc8e96a43c88d760_800x600.jpg', u'title': u'The social animal', u'id': 1094, u'speaker': u'David Brooks', u'duration': 1124, u'slug': u'david_brooks_the_social_animal'}, {u'viewed_count': 997630, u'hero': u'https://pe.tedcdn.com/images/ted/040ce6ae0f5e8d306d395b03be10fffb459f69ae_2880x1620.jpg', u'title': u'There's more to life than being happy', u'id': 2861, u'speaker': u'Emily Esfahani Smith', u'duration': 738, u'slug': u'emily_esfahani_smith_there_s_more_to_life_than_being_happy'}, {u'viewed_count': 1407619, u'hero': u'https://pe.tedcdn.com/images/ted/7942398dd4f5b61691f12872b6e787cf53dec95f_2880x1620.jpg', u'title': u'This app knows how you feel -- from the look on your face', u'id': 2279, u'speaker': u'Rana el Kaliouby', u'duration': 664, u'slug': u'rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face'}]",Life coach; expert in leadership psychology,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']","https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",20685401,"[My stroke of insight, 8 secrets of success, The surprising science of happiness, The social animal, There's more to life than being happy, This app knows how you feel -- from the look on your face]",2006,0.886754363,13617,0.927083333,7,49,1,0.43799845
253,1,672,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",21.75,TED2006,02-02-2006,36,Tony Robbins,Why we do what we do,1,27-06-2006,"[{u'viewed_count': 21190809, u'hero': u'https://pe.tedcdn.com/images/ted/eefe30d20338d800bdc70a09dc0f6007e7355a74_2880x1620.jpg', u'title': u'My stroke of insight', u'id': 229, u'speaker': u'Jill Bolte Taylor', u'duration': 1099, u'slug': u'jill_bolte_taylor_s_powerful_stroke_of_insight'}, {u'viewed_count': 10841194, u'hero': u'https://pe.tedcdn.com/images/ted/6c8c4b562ae7b0a7f5b140e2db1f7588861a6565_1600x1200.jpg', u'title': u'8 secrets of success', u'id': 70, u'speaker': u'Richard St. John', u'duration': 210, u'slug': u'richard_st_john_s_8_secrets_of_success'}, {u'viewed_count': 14689293, u'hero': u'https://pe.tedcdn.com/images/ted/016a827cc0757092a0439ab2a63feca8655b6c29_1600x1200.jpg', u'title': u'The surprising science of happiness', u'id': 97, u'speaker': u'Dan Gilbert', u'duration': 1276, u'slug': u'dan_gilbert_asks_why_are_we_happy'}, {u'viewed_count': 1132745, u'hero': u'https://pe.tedcdn.com/images/ted/78e8d94d1d2a81cd182e0626dc8e96a43c88d760_800x600.jpg', u'title': u'The social animal', u'id': 1094, u'speaker': u'David Brooks', u'duration': 1124, u'slug': u'david_brooks_the_social_animal'}, {u'viewed_count': 997630, u'hero': u'https://pe.tedcdn.com/images/ted/040ce6ae0f5e8d306d395b03be10fffb459f69ae_2880x1620.jpg', u'title': u'There's more to life than being happy', u'id': 2861, u'speaker': u'Emily Esfahani Smith', u'duration': 738, u'slug': u'emily_esfahani_smith_there_s_more_to_life_than_being_happy'}, {u'viewed_count': 1407619, u'hero': u'https://pe.tedcdn.com/images/ted/7942398dd4f5b61691f12872b6e787cf53dec95f_2880x1620.jpg', u'title': u'This app knows how you feel -- from the look on your face', u'id': 2279, u'speaker': u'Rana el Kaliouby', u'duration': 664, u'slug': u'rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face'}]",Life coach; expert in leadership psychology,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']","https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",20685401,"[My stroke of insight, 8 secrets of success, The surprising science of happiness, The social animal, There's more to life than being happy, This app knows how you feel -- from the look on your face]",2006,0.886754363,13617,0.927083333,8,64,1,0.43799845
289,1,672,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",21.75,TED2006,02-02-2006,36,Tony Robbins,Why we do what we do,1,27-06-2006,"[{u'viewed_count': 21190809, u'hero': u'https://pe.tedcdn.com/images/ted/eefe30d20338d800bdc70a09dc0f6007e7355a74_2880x1620.jpg', u'title': u'My stroke of insight', u'id': 229, u'speaker': u'Jill Bolte Taylor', u'duration': 1099, u'slug': u'jill_bolte_taylor_s_powerful_stroke_of_insight'}, {u'viewed_count': 10841194, u'hero': u'https://pe.tedcdn.com/images/ted/6c8c4b562ae7b0a7f5b140e2db1f7588861a6565_1600x1200.jpg', u'title': u'8 secrets of success', u'id': 70, u'speaker': u'Richard St. John', u'duration': 210, u'slug': u'richard_st_john_s_8_secrets_of_success'}, {u'viewed_count': 14689293, u'hero': u'https://pe.tedcdn.com/images/ted/016a827cc0757092a0439ab2a63feca8655b6c29_1600x1200.jpg', u'title': u'The surprising science of happiness', u'id': 97, u'speaker': u'Dan Gilbert', u'duration': 1276, u'slug': u'dan_gilbert_asks_why_are_we_happy'}, {u'viewed_count': 1132745, u'hero': u'https://pe.tedcdn.com/images/ted/78e8d94d1d2a81cd182e0626dc8e96a43c88d760_800x600.jpg', u'title': u'The social animal', u'id': 1094, u'speaker': u'David Brooks', u'duration': 1124, u'slug': u'david_brooks_the_social_animal'}, {u'viewed_count': 997630, u'hero': u'https://pe.tedcdn.com/images/ted/040ce6ae0f5e8d306d395b03be10fffb459f69ae_2880x1620.jpg', u'title': u'There's more to life than being happy', u'id': 2861, u'speaker': u'Emily Esfahani Smith', u'duration': 738, u'slug': u'emily_esfahani_smith_there_s_more_to_life_than_being_happy'}, {u'viewed_count': 1407619, u'hero': u'https://pe.tedcdn.com/images/ted/7942398dd4f5b61691f12872b6e787cf53dec95f_2880x1620.jpg', u'title': u'This app knows how you feel -- from the look on your face', u'id': 2279, u'speaker': u'Rana el Kaliouby', u'duration': 664, u'slug': u'rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face'}]",Life coach; expert in leadership psychology,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']","https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",20685401,"[My stroke of insight, 8 secrets of success, The surprising science of happiness, The social animal, There's more to life than being happy, This app knows how you feel -- from the look on your face]",2006,0.886754363,13617,0.927083333,9,81,1,0.43799845
325,1,672,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",21.75,TED2006,02-02-2006,36,Tony Robbins,Why we do what we do,1,27-06-2006,"[{u'viewed_count': 21190809, u'hero': u'https://pe.tedcdn.com/images/ted/eefe30d20338d800bdc70a09dc0f6007e7355a74_2880x1620.jpg', u'title': u'My stroke of insight', u'id': 229, u'speaker': u'Jill Bolte Taylor', u'duration': 1099, u'slug': u'jill_bolte_taylor_s_powerful_stroke_of_insight'}, {u'viewed_count': 10841194, u'hero': u'https://pe.tedcdn.com/images/ted/6c8c4b562ae7b0a7f5b140e2db1f7588861a6565_1600x1200.jpg', u'title': u'8 secrets of success', u'id': 70, u'speaker': u'Richard St. John', u'duration': 210, u'slug': u'richard_st_john_s_8_secrets_of_success'}, {u'viewed_count': 14689293, u'hero': u'https://pe.tedcdn.com/images/ted/016a827cc0757092a0439ab2a63feca8655b6c29_1600x1200.jpg', u'title': u'The surprising science of happiness', u'id': 97, u'speaker': u'Dan Gilbert', u'duration': 1276, u'slug': u'dan_gilbert_asks_why_are_we_happy'}, {u'viewed_count': 1132745, u'hero': u'https://pe.tedcdn.com/images/ted/78e8d94d1d2a81cd182e0626dc8e96a43c88d760_800x600.jpg', u'title': u'The social animal', u'id': 1094, u'speaker': u'David Brooks', u'duration': 1124, u'slug': u'david_brooks_the_social_animal'}, {u'viewed_count': 997630, u'hero': u'https://pe.tedcdn.com/images/ted/040ce6ae0f5e8d306d395b03be10fffb459f69ae_2880x1620.jpg', u'title': u'There's more to life than being happy', u'id': 2861, u'speaker': u'Emily Esfahani Smith', u'duration': 738, u'slug': u'emily_esfahani_smith_there_s_more_to_life_than_being_happy'}, {u'viewed_count': 1407619, u'hero': u'https://pe.tedcdn.com/images/ted/7942398dd4f5b61691f12872b6e787cf53dec95f_2880x1620.jpg', u'title': u'This app knows how you feel -- from the look on your face', u'id': 2279, u'speaker': u'Rana el Kaliouby', u'duration': 664, u'slug': u'rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face'}]",Life coach; expert in leadership psychology,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']","https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",20685401,"[My stroke of insight, 8 secrets of success, The surprising science of happiness, The social animal, There's more to life than being happy, This app knows how you feel -- from the look on your face]",2006,0.886754363,13617,0.927083333,10,100,0,0.43799845
